,text,Sentiment
23,wow mejor de lo que esperaba el equipo esta nuevo batera al 100 estetica 100 increible recomendado al 100,1
24,worst definitely best phone work fine scratch bottom right corner frame screen bit rough palm hand,0
25,sound get phone microphone crow never answer fix particularly place,0
26,overall good excellent battery phone look good function well however purchase phone term excellent condition battery capacity 82far low model phone year,0
27,great ok best purchase 2022 battery ok honest opinion awesome,1
28,worth purchase come day earlier expect great condition visible cosmetic injury phone work awesome super affordable sleek vibrant colour around love,1
29,io install make two attempt install io 1442 first time 6 hour luck reset phone try install io overnight 11 hour still install worth time ask replacement idea whether replacement would better addition required pay return postage 1276 amazon gracious enough give credit towards purchase item many thanks amazon,1
30,value value money good new,1
31,great purchase exactly describe issue highly recommend,1
32,son love sure expect refurbish device comment pretty positive happy mine visible blemish screen return decide keep price apply screen protector case look almost good new battery life 88 still last full day problem idea replace battery soon buy iphone 8 awful 83 feel need yet battery really great overall glad get really need upgrade iphone 8,1
33,batter 78 capacity need replace battery soon,0
34,impressed excellent purchase 10year old daughter get pager 15 year old thing def change,1
35,pretty good come expect scratch edge screen visible arm length screen big problem,1
36,good deal happy purchase battery health 100 need phone,1
37,miss cord phone arrive good condition charge block present cord miss,0
38,battery life look new however battery life normal,0
39,camera good come original packaging camera good crack scratch audio work leave work right pretty good like scratch mark camera lense,0
40,touch screen work return product touch screen work company good refund,1
41,amazing thing dislike phone purple spot screen black would definitely buy,1
42,work great see little bit problem may perhaps receive new display work great thanks,1
43,big big espectec otherwise perfect,1
44,nice upgrade upgrade fairly new 8 plus need new sim card take precious hour sort box phone 85 battery health frustrating desire go phone switch curious partial refund available since purchase old model expect,1
45,look like new deliver fast scratch crackslooks new odered elderly couple still use flip phone want upgrade order use facetime family member,1
46,come red button order white phone come red button funny quirk big deal refurbish look,1
47,referb iphone se 2020 exceed expectation absolutely love refurbished 2020 iphone se battery life awesome last 48 hr completely deplete play couple game daily surf web watch video listen music view social medium etc without charge constantly overall excellent condition could find single blemish scratch,1
48,iphone se work far good,1
49,far good like fast easy swap info old phone,1
50,iphone 11 get sim card tray might something wrong come,0
51,work battery peak work return battery 80,0
52,unlocked att appearance look like brand new battery life great,1
53,like new great phone arrive time seem like new half cost,1
54,would recommend purchase phone get decide big upgrade well arrive lock carrier lock user lock previous owner get far obviously plus keep power offon think either report loststolen kept protect prior owner data prop apple suppose lock power set way frustrate throughly test phone see earth could even get lock phone save headache trip ups return buy new different source frustrating big waste time screen also screen protector could see scratch awful shape would call excellent condition refurbish,-1
55,good phone mine least unlocked carrier claim device defect work awesome get fast complaint complaint fully unlocked unlocked gsm carrier great purchase,1
56,bad battery read battery life least 80 ordered excellent condition however battery life 76 waste energy time return order elsewhere cool,-1
57,good phone like many current iphones many feature stay date finger id face id make sure get sim card provider want phone come one need get service,0
58,price everything,0
59,great phone cost phone everything expect battery life great far happy purchase,1
60,impressive good value previously original version se version impressive improvement screen slightly big easy navigate activate phone easily thumbprint faster battery charge last long sound quality phone call also clear battery 89 acceptableit take trial error transfer data old phone transfer sim card easyfor money phone bargain,1
61,meet cellphone need good phone transition old iphone,1
62,look brand new impressed packaging look brand new highly recommend,1
63,describe phone good product complaint iphone come 85 battery health otherwise great product describe,1
64,excellent condition buy phone excellent condition phone come good condition scratch fingerprint seem use longtime,0
65,must buy phone come original apple charger apple lightning cable screen protector buy get red iphone se amazing ill buy wifes new phone soon,1
66,battery life stink battery life,-1
67,bad battery life refurbish phone loses battery quickly charge charge multiple time daysome glitch try move cursori like phone small hand battery bad return,-1
68,happy begin experience detail phone battery seem chargeable 86 oh call call go voicemail screen go black freeze call hang discover tap unfreeze,0
69,battery phone arrive charge charge 100 last two hour 70 lucky battery last 4 hour plug disappointed product advice stay away seller battery phone terribleupdate face recognition stop work 3 day,-1
70,buy give wife xmas spectrum would even take itto hook 3rd party sell sim card would fir er 3 week still money sad thing play spend 4 5 okay year easy go stop,-1
71,several severe scratch excellent condition buyer beware several severe scratch excellent condition buyer beware,-1
72,great company trust buy hybrid battery life expect since phone refurbish phone work perfectly exceed expectation great product,1
73,recomendado lleg perfecto muy recomendable la compra por este medio lleg perfecto sin un solo araazo idntico al nuevo todava en garanta con la batera al 98 estoy super satisfecho 3ra vez que compro un artculo reacondicionado,1
74,good new great conditionworks great,1
75,reliable love battery life phone one full charge last day charge quickly excellent choice,1
76,fast delivery excellent phone thing bit small work great phone,1
77,bad screen screen come problem change well percentage battery also come low say,-1
78,shuts randomly day buy phone everything go smoothly next day shut randomly fully 70 definitely something wrong wait day show back never turn back call amazon apple much help wait turn back ever since thing happen anything month past literally start bad glitch change color till unbearably hard even turn return still get money,-1
79,refurbish use phone phone refurbish screen replace rather cover screen protector though condition say like newthe scratch phone viewable take screen protector delay touch response screen,-1
80,less get pay le pay 325 phone phone apple recertified 499 phone come 82 battery life apple recertified phone come new battery,1
81,scratch edge scratch edge,-1
82,certify refurbish still shut random time work love shut full battery several time certify refurbish like certified rubbish go back buyer beware sure watch return period mine 3 day good except phone parent hospitalreturned item receive buyspry 82321 1007am ian still process refund 82521,-1
83,bad purchase phone nothing troublei replace battery twice within first month purchase week afterthe phone keep go black turn even though fully chargethis happen third time yesterday frustrate send backbought compromisedflawed product never work properlydo buy renewedrefubished,-1
84,little 90 day hardware failure solution buy spent 500 dollar buy violet iphone 11 suppose excellent condition middle september since christmas eve phone start experience constant crash keep turn every five minute screen freeze enter kernel panic turn turn back thing reproduces make unusable go apple store tell technician hardware failure motherboard level since recondition phone apple warranty would like repair would cost much buying new phone suggest reach seller amazon however contact seller tell since day 90 day offer return repair 500 go waste even stop function 90 day swallow solution whatsoever propose outrageous unacceptable want iphone stop function exactly three month buy,-1
85,phone great unlocked nice phone good shape good battery life etc reason buy phone suppose unlock phone unlock verizon phone work ok give son unlock phone tmobile account share dad put verizon sim card one set might work everyone,0
86,great phone amazing quality long battery life like buy new way affordable price would recommend,1
87,get iphone something wrong battery get warn set click say battery iphone battery change iphone battery ignore week later would charge go walmart buy one charger flat lay phone four day later decide charge charge ever cent notice battery go really fast six month kind sad,-1
88,like new everything work well,1
89,junk buy junk pay exstra 80 immaculate phone well scratch easily see also work turn screen 4 hr call apple say sell dud 250 hate amazon 2nd phone 1st scratch,-1
90,refurbish glitchy screen screen glitchy probably refurbish third party screen,0
91,apple iphone se phone great value great size right replacement small iphone 5,1
92,phone unlocked item title say phone unlocked item unlock carrier sim lock could use sim card tell best bet return phone another one take 46 restock fee give full refund even though mistake receive unlock phone repurchase,-1
93,battery 91 yeah 90 sure 91 feel bit scamy,-1
94,vendor know anything resell phone battery life say need servicedeven though knew go use phone say description scratch visible also try contact seeker return email call thought would,-1
95,phone home button heat stand phone buyspry vendor home button get extremely hot course soon receive phone noticing issue take one event home button would get hot time figure pas glitch still reoccurring issue 73122 reach buyspry say quick respond offer suggestion go replace device need another phone one day future remember purchase experience,-1
96,battery inspection inspection say 100 battery go set check 80 inspect phone pay lot phone expect full work inspect order buyer beware,-1
97,band limitation use side usa finger print sensor work oftenhas band limitation issue whis compatible use outside usa,-1
98,screen malfunction 1 week warranty end screen line ghostingreached seller quote return policy one week warranty,-1
99,great phone defective phone receive defective would connect wifi return,-1
100,functional order phone mother order two amazon certify refurbish iphones please one however stop work within two week display go crazy totally die decide give seller another chance order exchange amazon show status way suppose delivery date phone completely disappear order wait second time hopeful get would recommend seller,-1
101,touch screen stop work phone work perfect 2 week touch screen stop work even turn know iphone 11 problem past say something screen replace think since suppose excellent refurbish phone would correct wrong upset son able take phone vacation call send picture,-1
102,hand box presentation good great condition look brand new even though second hand box presentation good,-1
103,good value well buy use phone come amazon neat packaging like new condition best value overall well buy use refurbish phone back amazon great return policy,1
104,internally good glass scratch device internally excellent glass scratch overall money satisfy,1
105,psimo el telfono llego con la pantalla daada nan,-1
106,receive defective phone receive phone try put passcode dead spot screen apparently seller pay return postage,-1
107,charger stop work phone good condition charger look new work day,0
108,work great 3rd renew iphone 2 prior phone scratch iphone describe excellent scratch chip around camera lens battery also 81 battery old 8 plus trade 83all thing consider take star good condition excellent importantly phone 100 good work orderupdate feb 2623after 5 month usage battery capacity degrade 79 normally could depend upgrading every 2 year case say phone 3 star phone,0
109,like phone like,1
110,great buy true description nice phone scratch true description 11 year old pleased purchase,1
111,phone nice 2nd day get paint come,0
112,phone like new move sim card old android phone work perfectly battery life close 100 scratch blemish kind please phone,1
113,sent wrong color phone work well send quickly order lavender color phone receive black super huge deal annoy wait hear back selleramazon color receive less expensive one order would like company least compensate difference,1
114,phone work get refurbish phone replace old refurbished 2016 se super excite arrive everything look greatbut turn start set keep shut restart try make sure charge way try add sim card even try factory reset nothing work keep shut could set wayi return get money back quickly without issue make sure factory reset send back remove information itit could fluke email never get back,-1
115,battery bad replace battery month product like apple make conclusion one best value want get apple product really go wrong price point,1
116,good like new describe video player loadingplay videoplaymutecurrent time000duration000loaded 0stream typeliveseek live currently behind liveliveremaining time0001xplayback ratechapterschaptersdescriptionsdescriptions selectedcaptionscaptions subtitle selectedaudio trackfullscreenthis modal window eye alright first impression phone lot issue like new description overall positive review renew device seem promise however device receive cover scratch even wipe seemsthe top volume button well sticky believe device even clean era covid bit concern hardware inside work alright would total flopwhile glad iphone glad wrong idea plethora review renew service think would receive like new product iphone chuck outoverall good phone renew service however need work least clean,-1
117,completely unsuccessful purchase let start say wanted work need work new phone budget buy phone iphone xr refurbish amazonthey show look great se look brand new package beautifully battery life 85 ok decent start first day start try set phone difficult keep give walk away frustrating majority touchscreen unresponsive slow figure maybe spoil last incredibly fast android use want throw itafter hour attempt set password get lock four pin code work 2 number would respond matter child figure way put finger get everything try phone take painfully long many spot work screenit go back 2 xrs try go back well first ear piece work speaker battery 80 second come look amaze 90 battery life screen die start second week iti wish could even explain hassle wish could say fluke third amazon refurbish device rowplease save headache stay far away,-1
118,buy new phone exactly 61 day day could return phone battery le 79 lesson learn always buy new phone,-1
119,worth overall phone bad old iphone 8 almost every respect much due new software factor know know run update software io 15experienced problem right gate initial setup take 2 hour team non functional none feature work status contact load etc work even use verizon network full bar thing even track car route live use turn turn direction short complete waste money,-1
120,return phone blacklist even list show clean imei purchase phone seller see great review know amazon guarantee renew item buy several renew electronics never issue phone determine blacklist verizon would let activate listing mention would purchase obviously seller check verification claim phone careful seller,-1
121,battery life phone come minor dent around body nothing serious problem battery health 74 receive phone,0
122,trust seller refurbish phone buy iphone se refurbish turn within week turn also microphone seem replace voice come clearly loud enough would highly recommend buy anything seller,-1
123,good basic phone nothing write home phone small okay nothing special,0
124,almost exactly want phone beautiful shape weird color screen top big deal would give 4 star battery advertise 79 capacity say replace battery soon another 89 apple store,1
125,would recommend bought husband 500 brand new phone id recommend buy light scratch nothing really noticeable bothersome easy setup deliver faster expect,1
126,premium renew product fail return easy lot research decide 1year guarantee would take chance affordable option purchase iphone se open box immediately notice pretty substantial scratch along top part screen think meet criterion visible damage hold arm length maybe eyes good overly concerned scratch device work great otherwise impressed battery life camera pretty good though struggled low light next issue discover poor bluetooth connection car guarantee issue phone see previous iphone 8 crystal clear car assume new phone issue point decide would return phone find good deal another phone fast forward yesterday almost two month since purchase phone spontaneously die apparent reason charge use 30 minute suddenly go use totally dead would charge respond combination button hold reset etc get chat support rep confuse unhelpful main question whether personal information would protect phone able restart return end talk apple support much helpful walk erase phone even though dead initiated return definitely easy finalize yet update review issueall say think amazon renew much gamble worth money save willing take risk deal hassle return replace defective phone vouch ease return process ultimately decide purchase brand new device directly apple good luck,-1
127,well like phone speaker super low especially alarm go,1
128,clean home button dead week dirty remove stain tissue guess one actually clean home button stop work one week return,-1
129,poor battery poor phone quality together phone battery worse ever see even last hour annoy even use anything back phone phone minor dent screen touch response poor touch several time get go phone zero star unfortunately low star one,-1
130,definitely iphone bad far use past month moderately show real issue yet definitely woth far hid scratch mark cover buy screen protector come productwould recommend look affordable iphone,1
131,overall love product picture attach minimal wear tear overall love product picture attach minimal wear tear,1
132,amaze amaze,1
133,decent phone far good replace 6 much different speed anything consider 6 2016 still decent price wife use like size phone glad make,1
134,beware phone unlock compatible carrier network list good phone beautiful shape look new customer service professional responding within 24 hour timethe bad phone unlock compatible network advertise several hour try troubleshoot att person phone finally return phone thier suggestion amazonaffiliated company electro wireless unable send replacement phone receive original one could promise replacement leave open end may send replacement may refund purchase shipping cost also even though sent defective device incorrectly fill order still pay return shippingpeople save time hassle order refurbish phone electrowireless amazon end completely new phone model new generation att 26 pay return ship cost pocket,-1
135,iphone phone get lock use warranty buy,-1
136,slow phone 30 begin appear slow opening apps apps crash battery life bad screen quality great phone face id,1
137,could hear call phone work fine except could hear call thru ear piece seem like test send customer return buy renew premium version work fine,0
138,buena compra un buen producto muy buen estado viene con un cargador que e de marca apple pero funciona bien,1
139,great great value money,1
140,bad bad,-1
141,battery come exactly 80 return battery health come exactly 80 least return easy,-1
142,terrible battery life battery life terrible phone would die without warn,-1
143,speaker ear phone muffle earpiece speaker quiet n mumble drop mark peel paint camera lens suppose b excellent condition ship usps leave mail box scan shop seller,-1
144,defective product refurbish phone expensive despite brand new product initially delay ship several time several major issue bad fact continue randomly shut reboot completely sometimes try reboot 20 time actually work would give zero star could,-1
145,broke around 90 day buy buy phone 90 day ago around 3 week ago start crash twice would turn turn back unless use system restart function consider contact company really yesterday crash phone turn clearly underlie problem reach company frustrate pay 350 phone work less 4 month never anything like happen keep phone storage case never drop last iphone 4 year really disappointed buy companydo buy refurbish,-1
146,surprise everything work fine phone function shouldit ship screen protector already instal like screen protector remove surprise see many scratchs damage glass could see screen protector probably would bother much feel like try hide use phone secondary phone reason keep,1
147,work condition product pre supposedly good work condition take phone provider since able make work tell weather strip miss put sim card could text phone call basically useless plus without strip know water damage disappoint,-1
148,dysfunctional unit box phone problem refurbish know would possibility disappointmentand exactly,-1
149,restarts every week 6 month around month 3 return window start restart random time since become frequentprobably happen twice week least restart time take long always surprise happen never convenient tell great deal also tell get pay think stick,-1
150,worst phone ever receive phone amazon right away phone glitching work battery life dy right away phone even turn nice broken phone return process easy refund quickly thank full refund,0
151,battery life exceed 80 phone come great physical condition almost look brand new however battery life exceed 80 advertised,0
152,able pay affirm transfer apps,0
153,really love phone unlock use italy really really loooooove phone happy,1
154,poor battery life phone work fairly well compromise battery life four month use charge slowly sporadically make difficult away charger length time,0
155,function right go return work right disappointed,-1
156,poor battery life poor battery life,-1
157,charger phone say would get phone charger get charger,0
158,exactly want new iphone new software home button exactly want look feel brand new although think refurbish good phone come charger cable 2 plug package nicely able return old phone credit packaging,1
159,mostly get pay charger break right box minor scratch frame speaker grill appear old damage minor scratch back device packaging box inside main box open open packagethis horrible phone yet give issue decrease score pay 60 less would perfect price pointupdate 6 month later randomly die recent 22 percent,-1
160,excelente inversin buen precio excelente estado parece nuevo incluye cargador lo nico malo e el tamao el mismo tamao del 6,1
161,wrong phone think get iphone 8 work fine set say iphone 8 really money buy another one past month half iphone 8,0
162,worth buying refurbish phone buy phone christmas gift daughter think would save money get phone want wait tmobile get phone back stock however buy refurbish save money phone arrive seemingly bad battery would charge die 24 hour first day phone take local repair shop battery brand new apparently seller check part charge port major short battery charge repair cost difference new phone refurbish one worth hassle,-1
163,excellent condition 82 battery life phone die quickly receive phone look great definitely excellent condition category except one thing battery life 82 much say exceed 80 top constant issue phone die quickly currently try work guarantee renew process get replacement already exchange old iphone 11 really hope send new phone send one back business without phone 710 day process everything wait hear back send phone send phone back update go return phone refund helpful disappoint phone company update refund,-1
164,overall review phone work good overall hard hear talk phone without speaker camera good boyfriend brand new iphone 11,0
165,unsatisfied return receive iphone se crack camera lens,-1
166,trouble le month receipt 1523 order phone use mint mobile work fine today february 2 2023 screen go black turn since charge try iphone troubleshoot suggestion online still black screen hear phone call ding text message sometimes vibrate idea call texting way answer contact seller await response contact amazon unable get hold seller possible keep updating review far impressed,-1
167,product meet expectation like everything product expect,1
168,poor battery life 1st day since almost three year old iphone 6 battery stay minute need new phone 6 200 brand new att new se size 6 450 seem lot obsolete model buy renew itemthink make mistake battery go dead overnight upon exploration attach pic reveal phone use maybe 8 month year abuse hard 46 month accord various sourcesphone look operate fine iphone 6 prior could go three day without charge one probably go return buy brand new one 150 likely worth usable lifespan 10 reduction 10 lifespan day battery fail precipitously fast time,-1
169,renew poor sound due unclean receiver speaker poor renew quality control sound muffle unclear take apple store receiver speaker fail test technician clean bottom phone pas test take 3 hour address issue phone even clean renew process basicthe rest phone fine,-1
170,meh small scratch screen battery health 87 would let get pass click country try set phone would freeze matter many time turn try thankfully brother able tech stuff fix phone disappoint consider first phone get great decide trust buy,-1
171,easy set referb iphone 11_128gb physically nice look phone however battery mark 86 health pkg actually 84 bit less hop big issue sort white thing randomly happen screen several time texting add photo screen white reboot sure software hardware issue never experience prior iphones little pricey choice,1
172,great product far perfect att suckssent refurbish phome mean like new use right icloud lock att say go 2 store someone actually know simple locked icloud lock perfect,-1
173,charge 88 battery life medium could load phone physically great condition charge battery health 88,-1
174,arrive screen damage never even plug pay postage return rip refurbish expensive consider get inferior scratch product possession 2 minute saw damage screen never even turn know work insult injury pay ship cost return waste time money buy new,-1
175,swear someone make basement work think part authentic,0
176,bad condition nan,-1
177,excellent work condition lot ding iphone great working condition complaint lot ding phone easilyvisible disappointed ding great product,1
178,minus 5 star phone become dead two day receive receive iphone 11 company lock website say unlocked,-1
179,terrible think phone fine even week later shut turn back next day happen 3 time happen three time even though phone month phone month buy,-1
180,happy lightly use work battery health 99 issue good purchase,1
181,miss sim removal kit visible damage arm length overall trust guarantee make simply expect function phone,0
182,warn try activate phone mobile phone incapable connect mobile employee tell forth iphone amazon able activate month alone add could even say certainty real iphonesave trouble,-1
183,recommend recommend send photo samsung photo display,-1
184,almost perfect phone work great expect fact front face camera lens sort mark whenever take picture little black smudge disappoint consider everything else great great price want give 5 star mark picture hard,-1
185,bad battery 7 month battery good need battery replacement,-1
186,nice cell phone great condition problem cell phone great condition work great problem deliver fast would recommend,1
187,worth awesome phone,1
188,battery last buy phone early october 2022 february 2023 battery longer hold charge randomly shut start happen two week return window amazon close would buy phone,-1
189,disappointed phone charge batter life die fast,-1
190,product complete function make phone call return due product defective screen sometimes frozen power order function,-1
191,q great teenager,1
192,battery health phone pretty good condition even come glass screen protector witch good description say battery health test guarantee 80 high mine come 78 battery capacity,0
193,iphone 11 unfortunately battery stay charge long seem 80 hold,-1
194,keep restart every 5 minute everything fine start restart every 5 minute box get refund,-1
195,great price look brand new phone work perfectly fine camera quality great well great purchase price,1
196,annoy go apple hear,-1
197,unlocked lock japan could use could use lock japan company return,-1
198,happy exactly advertise actually even well look like new run like new complaint,1
199,good phone genuine article work well buy,1
200,volume work properly volume work properly,-1
201,diminish sound ear phone unable hear phone arrive acceptable shape light scuff upper leave screen place screen protector see able transfer data android phone test phone call unable hear person call even volume set way speaker box normal sound request return vendor cooperate,-1
202,experince ship proccess place end pick item ship company item self good condition crack small indent ring camera visible damage camera work fine good price 119 happy overall,1
203,beware hidden damage beware amazon renew product receive lot scratch screen part renew process hide damage screen cover screen protector specifically design hide damage standard screen protector stop 8th inch edge screen instead extend way edge screen contain black bar top bottom cover area around speaker button since normally buy aftermarket include design specifically purpose hide damage incidentally also purchase iphone xr amazon renew similar screen protector go way edge black area screen would black case put regular clear screen tactor phone could see air bubble scratch screen protector decide keep beware purchase one remove amazon renew screen protector come look closely underneath may decide want utilize 90 day return window get different phonebesides phone seem good condition 90 battery life remain work flawlessly blatant attempt high damage give two star seem bit underhanded,-1
204,perfect great phone service,1
205,compatible tmobile screen damage purchase unlocked version come screen bright spot tmobile sim card work neither bright spot visible light background dark mode almost imperceptible packaging come also returnfriendly get box return terrible phone terrible experience,-1
206,false advertising battery life description say battery 80 minimum get phone today 73 quote get new battery 90 pleased,-1
207,iphone condition advertise iphone se 2nd generation receive yesterday listing advertise would damage visible 12 inch screen iphone large scratch clearly visible arm length although setup device yet power sure function finei expect refurbish device perfect think specific claim appearance true,-1
208,arrive damage phone arrive multiple large crack across screen seller claim refurbish phone sell minor blemish onlythis second refurbish phone return arrive damage,-1
209,kind bad deal phone much small thought would old iphone 8 plus around 61 inch phone small yes advertise battery max 82 however case price come pack really bad phone setup slow work pretty good care size would recommend small 8plus 100 dollar cheap work really however care size recommend get battery might issue,-1
210,great phone work great problem get 100 battery health plus,1
211,good quality work pretty fine softwar upgrade without problem,1
212,speaker exterior perfect condition everything work except talk phone barely hear person unless put speaker anyway still good,1
213,perfecto estado igual nuevo excelente compra bateria al 100 de su capacidad dura das con uso moderado el equipo sin marcas visibles de uso condicin pristina,1
214,shortest battery life buy product renew one expect little bit get specially 1 year renew product know carefully handle amazon piece might replace iphone se excellent condition deliver battery show 100 maximum capacity fine couple month maybe 56 start see battery degrade fast pace less 1 half year battery 50 capacity unusual iphone healthy battery course battery swollen screen body phone warn guy stay sharp renew product might end malfunction product year maybe less,-1
215,end buy new phone great condition screen original left side dead strip letter keyboard top bottom figure try create gesture could swipe left right notice dead part 10 day phone return make easy,0
216,face id love phone face id work great condition love complaint,1
217,battery advertise screen much pay premium battery capacity great 91 phone good condition disappoint part screen noticeable scratch top right corner could buff premium suppose real noticeable scratch screen,1
218,battery deficient phone even stay long enough update software turn every 23 minute reboot important battery message state unable verify phone genuine apple battery something show excellent like new phone disappoint send back,-1
219,2020 se phone great purchase 2020 se great collection scratch face work perfectly battery life good great purchase,1
220,come unlock go whole set process instal new io put screen protector switch sim card phone phone say unable work sim bring tmobile say phone lock,-1
221,great refursbished phone little scratch great phone work correctlyin color order arrive timethe vendor send cover screen protector however iphone xr fit still appreciate gesture,1
222,low battery health illegal sticker phone cheap enough 150 come acceptable condition two point unacceptablethere 85 battery health leave mean 5 battery life leave need change battery give price overlook battery cost whole lot swap easythe main point illegal warranty void sticker bottom phone cover screw hole attempt seller purposefully mislead customer think open phone break sticker warranty void true sticker illegal enforceable buy phone vendor disregard warranty void sticker attempt mislead discourage customer,-1
223,buy excellent condition purchase iphone 11 excellent condition camera frame mark possible fall charger port look like bottom burnt dirty,-1
224,careful international phone buy phone use united state tmobile try activate meid list international phone use carrier,-1
225,quality phone phone small sound talk low sound far away,-1
226,battery suck product description say phone guarantee 80 minimum battery capacity get today battery capacity 75 disappoint,-1
227,stop work product stop work need return,-1
228,sad phone quit work use week,-1
229,product arrive dirty miss screw loudspeaker also sound tinny though damage would return bother end drawer due time,-1
230,phone like brand new screen come perfect shape battery life 99 cosmetic damage fully recommend thank,1
231,satisfied customer work fine,1
232,pleased man happy happy buy look brand new,1
233,buy seller 610 update screen chip multiple place pocket due screen protrude fame67 date delivery functionality phone work overall really well assume screen break refurbish new screen protrude frame phone buy protective case screen protector get regardless drop one time due protrusion chip screen even screen protector buying seller,-1
234,great customer service great phone phone great physical condition whole host issue screen touch microphone buy apple,-1
235,broken speaker must check phone befor resale speaker phone even work,-1
236,touch phone even work 1 weekim quiet sure batterie workingi try contact seller answer,-1
237,less 80 battery life right box phone guarantee least 80 battery life clearly case know 78 close guarantee minimum review show battery life 90 range feel let unfortunately time send back wait another buyer beware,-1
238,perfect need need reliable phone control tesla make occasional call text nothing fancy therefore nothing expensive 300 10month phone plan perfect even get apple watch want,1
239,expect like phone price good product lack charger work battery 86 battery life expect apple charger work pay one battery huge part phone expect battery life 90 good refurbish phone pay good battery old use battery last phone two half year still 84 one reason person buy new phone new battery well would never recommend buy refurbish iphone amazon think make solid purchase see gamble lose like,-1
240,good good,1
241,great quality respect battery life product essentially brand new every manner except battery life poor battery arrive 92 total capacity believe mean mean 92 good brand new battery discharge rate much fast true bluetooth wireless battery drain similar rate iphone 6 replacingit pain one main reason want replace phone think io battery efficiency measurement good indicator well battery perform lithium ion battery inescapable memory quirk create false floor total charge capacity battery repeatedly charge completely dischargedanywaylike say quality phone respect great single blemish aware battery percentage go give full picture actually performsupdate 3 day later phone battery health indicator drop 92 85 two complete discharge normally kind drop would take year either deliberately skew battery health result appear high arrival serious flaw process purchase amazon refurbish phone battery performance mind regardless whatever capacity claim minus 2 star,1
242,buy sell defective phonescreen stick movewas absolutely failurei disappointed son birthday ruin want sell people faulty phone,-1
243,great bang buck ymmv accessory great phone necessary need snappy sleek design enjoyable use throughout entire day really small battery good predecessor good enough suppose4 star refurbish charge board fell enclosure within two week kind annoy get purchase refurbish ymmv,1
244,get pay overall reliable get good work phone happy overall screen way scratch damage put glass screen protector many scratch engrave speck apply one overall good phone battery 92 decent,1
245,return item buy phone know anything could possible optimistic phone look new beautiful little scratch bad problem speaker work properly face recognition good either sadly return receive money back fast costumer service great,-1
246,good product size phone want good buy,1
247,great phone deliver great shape battery health 100 low cost apple iphone meet wifes need perfectly compatible apple device shipment quick product well package highly recommended,1
248,iphone se 2020 excelente muy buena la batera el tamao la velocidad tremenda es genial,1
249,bad replacement screen display stop work within one week black screen take local shop confirm display fail apple original cheap aftermarket replacement replace,-1
250,great fix stick screen get really early say come january 69 come january 6 good turn setup would get stuck select region set would get stuck white screen alot research fix surprisingly fix sepnd 25 dollar online get fix work perfectly fine love much wish spend money fix,1
251,battery health 77 low expect recommend,-1
252,cautious inferior refurbish product medium could load edit seller provide copy report show component oem simply oversight quality control reseller understandable since notice upon angle inspectionthis phone actually look amaze barely scratch case screen appear wonderful hold angle see video clip ripple warble screen obviously nonoem quality replacement job likely poorly complete job sellerwhen apply screen protector become horribly noticeable protector could fully adhere leave bubble could rub underlie screen smooth disaster waste 2 protectorssad part 2nd refurb phone first original glass pretty scratch worth 500 refurb return purchase different seller lesson learn spend 50 buy new applecom,-1
253,never phone stop work completely buy whole new phone would recommend buy phone,-1
